353;Charles R. Ware;USA;Gearing class destroyer;1945;decommissioned 1974, sunk as target 1981
354;Charles S. Sperry;USA;Sumner class destroyer;1944;to Chile 1974, scrapped 1990
355;Charlestown;USA�UK;Town class destroyer;1940;scrapped 1947[2]
356;Charrette;USA;Fletcher-class destroyer;1943;to Greece 1959, museum ship at Athens
357;Chase;USA;Buckley class destroyer escort;1943;scrapped 1946
358;Chaser;UK;Attacker class escort aircraft carrier;1943;Returned to USN 12 May 1946, sold into merchant service 20 December 1946 as Aagtekerk
359;Chatelain;USA;Edsall class destroyer escort;1943;scrapped 1974
360;Chauncey;USA;Fletcher-class destroyer;1943;decommissioned 1954, scrapped 1972
361;Chelsea;USA�UK�Canada�USSR;Town class destroyer;1940;to Canada Nov 1942, to USSR July 1944 as Derzkiy
362;Chenango;USA;Sangamon-class escort carrier;1941;decommissioned 1946, scrapped 1960
363;Chervona Ukraina;USSR;Svetlana class light cruiser;2013;Sunk 12 November 1941
364;Chester;USA;Northampton class heavy cruiser;1930;scrapped 1959
365;Chester T. O'Brien;USA;Butler class destroyer escort;1944;decommissioned 1959, scrapped 1974
